Goods Description,UoM,Price,Currency,Link
100% COTTON KNITTED DYED PILLOWCASE,KG,8.53,PKR,"https://google.com"
BOPET METALIZED FILMS -12 (UNPRNTED AND UNLAMINATED),KG,1.93,PKR,"https://google.com"
POLYURETHANE (PU) (PLASTIC PACKING MATERIAL),KG,1.3,EUR,"https://google.com"
LADIES 74% COTTON 24% POLYESTER 2% ELASTANE TROUSER.DYED.,u,6.5,EUR,"https://google.com"
98% COTTON + 2% ELASTANE DYED LADIES CARGO TROUSERS.,u   ,9.58,EUR,"https://google.com"
100% COTTON LADIES PRINTED APRON,u,5.1,EUR,"https://google.com"
55% COTTON 45% POLYESTER APRON (DYED) DETAIL AS PER ATTACH INV,KG,9.2,USD,"https://google.com"
PACKING MATERIAL (PLASTIC STRAPPING ROLLS),KG,1.39,PKR,"https://google.com"
ASSORTED KITCHEN UTENSILS & HOUSE HOLD ITEMS  DETAIL AS PER INVOICE AND PACKING LIST,u,2,GBP,"https://google.com"
"55% COTTON 45% POLY DYED HERRINGBONE BLANKETS",KG,4.96,USD,"https://google.com"
LEATHER GLOVES SINGLE,u,1.75,QAR,"https://google.com"
WORKING GLOVES M/O SPILIT LEATHER NATURAL ORANGE,u,3.7,SAR,"https://google.com"
DYED BABIES ZIP HOODY KNITTED 58% CTN 42% POLY COUNT OF YARN:24/1,KG,4.55,GBP,"https://google.com"
100% COTTON DYED MOMS JEANS PANTS  ASSORTED SIZES,u,1.5,USD,"https://google.com"
DUVET SET 76X68/30X30 CVC 60:40 WHITE.,KG,5.02,GBP,"https://google.com"
SPORTS WEAR GARMENTS BJJ GI,u,495.9,USD,"https://google.com"
AZITHROMYCIN AZ,u,379.05,USD,"https://google.com"
APPLICATOR,KG,74.56,USD,"https://google.com"
UNION NUT,u,637.7,USD,"https://google.com"
